"id","name","code","create_at"
"101","BANK BUMIPUTERA","485","2020-08-19 06:24:57"
"102","BANK YUDHA BHAKTI","490","2020-08-19 06:24:57"
"103","BANK MITRANIAGA","491","2020-08-19 06:24:57"
"104","BANK AGRO NIAGA","494","2020-08-19 06:24:57"
"105","BANK INDOMONEX","498","2020-08-19 06:24:57"
"106","BANK ROYAL INDONESIA","501","2020-08-19 06:24:57"
"107","BANK ALFINDO","503","2020-08-19 06:24:57"
"108","BANK SYARIAH MEGA","506","2020-08-19 06:24:57"
"109","BANK INA PERDANA","513","2020-08-19 06:24:57"
"110","BANK HARFA","517","2020-08-19 06:24:57"
"111","PRIMA MASTER BANK","520","2020-08-19 06:24:57"
"112","BANK PERSYARIKATAN INDONESIA","521","2020-08-19 06:24:57"
"113","BANK AKITA","525","2020-08-19 06:24:57"
"114","LIMAN INTERNATIONAL BANK","526","2020-08-19 06:24:57"
"115","ANGLOMAS INTERNASIONAL BANK","531","2020-08-19 06:24:57"
"116","BANK DIPO INTERNATIONAL","523","2020-08-19 06:24:57"
"117","BANK KESEJAHTERAAN EKONOMI","535","2020-08-19 06:24:57"
"118","BANK UIB","536","2020-08-19 06:24:57"
"119","BANK ARTOS IND","542","2020-08-19 06:24:57"
"120","BANK PURBA DANARTA","547","2020-08-19 06:24:57"
"121","BANK MULTI ARTA SENTOSA","548","2020-08-19 06:24:57"
"122","BANK MAYORA","553","2020-08-19 06:24:57"
"123","BANK INDEX SELINDO","555","2020-08-19 06:24:57"
"124","BANK VICTORIA INTERNATIONAL","566","2020-08-19 06:24:57"
"125","BANK EKSEKUTIF","558","2020-08-19 06:24:57"
"126","CENTRATAMA NASIONAL BANK","559","2020-08-19 06:24:57"
"127","BANK FAMA INTERNASIONAL","562","2020-08-19 06:24:57"
"128","BANK SINAR HARAPAN BALI","564","2020-08-19 06:24:57"
"129","BANK HARDA","567","2020-08-19 06:24:57"
"130","BANK FINCONESIA","945","2020-08-19 06:24:57"
"131","BANK MERINCORP","946","2020-08-19 06:24:57"
"132","BANK MAYBANK INDOCORP","947","2020-08-19 06:24:57"
"133","BANK OCBC – INDONESIA","948","2020-08-19 06:24:57"
"134","BANK CHINA TRUST INDONESIA","949","2020-08-19 06:24:57"
"135","BANK COMMONWEALTH","950","2020-08-19 06:24:57"
"136","Bank BNI Syariah","951","2021-04-27 01:31:40"
"137","BANK SULSELBAR
","952","2021-12-30 07:04:00"
"138","BANK SAHABAT SAMPOERNA (BSS)","953","2021-12-30 07:07:08"
